"Name";"OU";"User";"Computer";"Delegation"
"Default Domain Policy";"EMEA.IPG.CORP";"true";"true";"Domain Admins@GpoCustom|Enterprise Admins@GpoCustom|SYSTEM@GpoEditDeleteModifySecurity|Authenticated Users@GpoApply|ENTERPRISE DOMAIN CONTROLLERS@GpoRead"
"Default Domain Controllers Policy";"EMEA.IPG.CORP/Domain Controllers";"true";"true";"Domain Admins@GpoCustom|Enterprise Admins@GpoCustom|SYSTEM@GpoEditDeleteModifySecurity|Authenticated Users@GpoApply|ENTERPRISE DOMAIN CONTROLLERS@GpoRead"
"IPG_EMEA_SmartCard_DefaultSettings";"EMEA.IPG.CORP/IPGL-BU/Computers/Desktops";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings";"EMEA.IPG.CORP/IPGL-BU/Computers/Laptops";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings";"EMEA.IPG.CORP/IPGL-BU/Computers/Servers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings";"EMEA.IPG.CORP/IPGRT-MI/Computers/Servers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings";"EMEA.IPG.CORP/EMEA Global Services/Computers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings_Server";"EMEA.IPG.CORP/IPGL-BU/Computers/Servers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings_Server";"EMEA.IPG.CORP/IPGRT-MI/Computers/Servers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SmartCard_DefaultSettings_Server";"EMEA.IPG.CORP/ADMPC";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
